HEX , NAME

00061A80 , Standard Arrow 
00061AE4 , Fire Arrow 
00061B48 , Poison Arrow 
00061BAC , Large Arrow 
00061C10 , Feather Arrow 
00061C74 , Moonlight Arrow 
00061CD8 , Wood Arrow 
00061D3C , Dark Arrow 
00062250 , Dragonslayer Greatarrow 
00062318 , Dragonslayer Lightning Arrow 
0006237C , Onislayer Greatarrow 
00062A20 , Standard Bolt 
00062A84 , Heavy Bolt 
00062AE8 , Sniper Bolt 
00062B4C , Wood Bolt 
00062BB0 , Lightning Bolt 
00062C14 , Splintering Bolt 
00062C78 , Exploding Bolt 
000623E0 , Millwood Greatarrow
