4000006C , Roster of Knights  
4000006F , Cracked Red Eye Orb  
400000F0 , Divine Blessing  
400000F1 , Hidden Blessing  
400000F2 , Silver Pendant  
40000104 , Green Blossom  
40000106 , Budding Green Blossom  
4000010E , Bloodred Moss Clump  
4000010F , Purple Moss Clump  
40000110 , Blooming Purple Moss Clump  
40000112 , Purging Stone  
40000114 , Rime-blue Moss Clump  
40000118 , Repair Powder  
40000122 , Kukri  
40000124 , Firebomb  
40000125 , Dung Pie  
40000126 , Alluring Skull  
40000128 , Undead Hunter Charm  
40000129 , Black Firebomb  
4000012B , Rope Firebomb  
4000012C , Lightning Urn  
4000012E , Rope Black Firebomb  
4000012F , Stalk Dung Pie  
40000130 , Duel Charm  
40000136 , Throwing Knife  
40000137 , Poison Throwing Knife  
4000014A , Charcoal Pine Resin  
4000014B , Gold Pine Resin  
4000014E , Human Pine Resin  
4000014F , Carthus Rouge  
40000150 , Pale Pine Resin  
40000154 , Charcoal Pine Bundle  
40000155 , Gold Pine Bundle  
40000157 , Rotten Pine Resin  
4000015E , Homeward Bone  
4000015F , Coiled Sword Fragment  
4000016E , Wolf's Blood Swordgrass  
4000016F , Human Dregs  
40000170 , Forked Pale Tongue  
40000171 , Proof of a Concord Well Kept  
40000172 , Prism Stone  
40000173 , Binoculars  
40000174 , Proof of a Concord Kept  
40000175 , Pale Tongue  
40000176 , Vertebra Shackle  
40000177 , Sunlight Medal  
40000179 , Dragon Head Stone  
4000017A , Dragon Torso Stone  
4000017C , Rubbish  
40000181 , Dried Finger  
40000183 , Twinkling Dragon Head Stone  
40000184 , Twinkling Dragon Torso Stone  
40000186 , Fire Keeper Soul  
40000190 , Fading Soul  
40000191 , Soul of a Deserted Corpse  
40000192 , Large Soul of a Deserted Corpse  
40000193 , Soul of an Unknown Traveler  
40000194 , Large Soul of an Unknown Traveler  
40000195 , Soul of a Nameless Soldier  
40000196 , Large Soul of a Nameless Soldier  
40000197 , Soul of a Weary Warrior  
40000198 , Large Soul of a Weary Warrior  
40000199 , Soul of a Crestfallen Knight  
4000019A , Large Soul of a Crestfallen Knight  
4000019B , Soul of a Proud Paladin  
4000019C , Large Soul of a Proud Paladin  
4000019D , Soul of an Intrepid Hero  
4000019E , Large Soul of an Intrepid Hero  
4000019F , Soul of a Seasoned Warrior  
400001A0 , Large Soul of a Seasoned Warrior  
400001A1 , Soul of an Old Hand  
400001A2 , Soul of a Venerable Old Hand  
400001A3 , Soul of a Champion  
400001A4 , Soul of a Great Champion  
400001B8 , Seed of a Giant Tree  
400001C6 , Young White Branch  
400001C7 , Rusted Coin  
400001C8 , Siegbräu  
400001C9 , Rusted Gold Coin  
400001CA , Blue Bug Pellet  
400001CB , Red Bug Pellet  
400001CC , Yellow Bug Pellet  
400001CD , Black Bug Pellet  
400001CF , Young White Branch  
400001EA , Dark Sigil  
400001F4 , Ember  
40000208 , Hello Carving  
40000209 , Thank you Carving  
4000020A , Very good! Carving  
4000020B , I'm sorry Carving  
4000020C , Help me! Carving  
400002C8 , Soul of Champion Gundyr  
400002C9 , Soul of a Wicked Spirit  
400002CA , Soul of the Dancer  
400002CB , Soul of a Crystal Sage  
400002CD , Soul of the Blood of the Wolf  
400002CE , Soul of Consumed Oceiros  
400002CF , Soul of Boreal Valley Vordt  
400002D0 , Soul of the Old Demon King  
400002D1 , Soul of Dragonslayer Armour  
400002D2 , Soul of the Nameless King  
400002D4 , Soul of Pontiff Sulyvahn  
400002D5 , Soul of Aldrich  
400002D6 , Soul of High Lord Wolnir  
400002D7 , Soul of the Rotted Greatwood  
400002D8 , Soul of Rosaria  
400002D9 , Soul of the Deacons of the Deep  
400002DC , Soul of Yhorm the Giant  
400002DD , Soul of the Lords  
400002E3 , Soul of a Demon  
400002E6 , Soul of the Twin Princes  
400002E7 , Soul of a Stray Demon  
400003E8 , Titanite Shard  
400003E9 , Large Titanite Shard  
400003EA , Titanite Chunk  
400003EB , Titanite Slab  , Ban-Warning, you can have only 15 in one play through!
400003FC , Titanite Scale  
40000406 , Twinkling Titanite  
4000044C , Heavy Gem  
40000456 , Sharp Gem  
40000460 , Refined Gem  
4000046A , Crystal Gem  
40000474 , Simple Gem  
4000047E , Fire Gem  
40000488 , Chaos Gem  
40000492 , Lightning Gem  
4000049C , Deep Gem  
400004A6 , Dark Gem  
400004B0 , Poison Gem  
400004BA , Blood Gem  
400004C4 , Raw Gem  
400004CE , Blessed Gem  
400004D8 , Hollow Gem  
400004E2 , Shriving Stone  
400007D1 , Lift Chamber Key  
400007D5 , Small Doll  
400007D7 , Jailbreaker's Key  
400007D8 , Jailer's Key Ring  
400007D9 , Grave Key  
400007DA , Cell Key  
400007DB , Dungeon Ground Floor Key  
400007DC , Old Cell Key  
400007DD , Tower Key  
400007DE , Grand Archives Key  
400007DF , Tower Key  
40000836 , Small Lothric Banner  
40000837 , Farron Coal  
40000838 , Sage's Coal  
40000839 , Giant's Coal  
4000083A , Profaned Coal  
4000083B , Mortician's Ashes  
4000083C , Dreamchaser's Ashes  
4000083D , Paladin's Ashes  
4000083E , Grave Warden's Ashes  
4000083F , Greirat's Ashes  
40000840 , Orbeck's Ashes  
40000841 , Cornyx's Ashes  
40000842 , Karla's Ashes  
40000843 , Irina's Ashes  
40000844 , Yuria's Ashes  
40000845 , Basin of Vows  
40000846 , Loretta's Bone  
40000847 , Braille Divine Tome of Carim  
40000848 , Braille Divine Tome of Lothric  
4000084B , Cinders of a Lord  
4000084C , Cinders of a Lord  
4000084D , Cinders of a Lord  
4000084E , Cinders of a Lord  
4000084F , Great Swamp Pyromancy Tome  
40000850 , Carthus Pyromancy Tome  
40000851 , Izalith Pyromancy Tome  
