HEX , NAME

403540D0 , Heal Aid
403567E0 , Heal
40356BC8 , Med Heal
40356FB0 , Great Heal
40357398 , Soothing Sunlight
40357780 , Replenishment
40357B68 , Bountiful Sunlight
40358338 , Bountiful Light
40358720 , Caressing Tears
4035B600 , Tears of Denial
4035B9E8 , Homeward
4035DD10 , Force
4035E0F8 , Wrath of the Gods
4035E4E0 , Emit Force
40360420 , Seek Guidance
40362B30 , Lightning Spear
40362F18 , Great Lightning Spear
40363300 , Sunlight Spear
403636E8 , Lightning Storm
40363AD0 , Gnaw
40363EB8 , Dorhys' Gnawing
40365240 , Magic Barrier
40365628 , Great Magic Barrier
40365DF8 , Sacred Oath
4036A448 , Vow of Silence
4036C770 , Lightning Blade
4036CB58 , Darkmoon Blade
40378AC0 , Dark Blade
40387520 , Dead Again
40389C30 , Lightning Stake
4038C340 , Divine Pillars of Light
4038EA50 , Lifehunt Scythe
40395F80 , Blessed Weapon
40398690 , Deep Protection
4039ADA0 , Atonement
403642A0 , Way of White Corona
40358B08 , Lightning Arrow
40364688 , Projected Heal
