HEX , NAME

20004E20 , Life Ring
20004E21 , Life Ring+1
20004E22 , Life Ring+2
20004E23 , Life Ring+3
20004E2A , Chloranthy Ring
20004E2B , Chloranthy Ring+1
20004E2C , Chloranthy Ring+2
20004E34 , Havel's Ring
20004E35 , Havel's Ring+1
20004E36 , Havel's Ring+2
20004E3E , Ring of Favor
20004E3F , Ring of Favor+1
20004E40 , Ring of Favor+2
20004E48 , Ring of Steel Protection
20004E49 , Ring of Steel Protection+1
20004E4A , Ring of Steel Protection+2
20004E52 , Flame Stoneplate Ring
20004E53 , Flame Stoneplate Ring+1
20004E54 , Flame Stoneplate Ring+2
20004E5C , Thunder Stoneplate Ring
20004E5D , Thunder Stoneplate Ring+1
20004E5E , Thunder Stoneplate Ring+2
20004E66 , Magic Stoneplate Ring
20004E67 , Magic Stoneplate Ring+1
20004E68 , Magic Stoneplate Ring+2
20004E70 , Dark Stoneplate Ring
20004E71 , Dark Stoneplate Ring+1
20004E72 , Dark Stoneplate Ring+2
20004E7A , Speckled Stoneplate Ring
20004E7B , Speckled Stoneplate Ring+1
20004E84 , Bloodbite Ring
20004E85 , Bloodbite Ring+1
20004E8E , Poisonbite Ring
20004E8F , Poisonbite Ring+1
20004E98 , Cursebite Ring
20004EA2 , Fleshbite Ring
20004EA3 , Fleshbite Ring+1
20004EAC , Wood Grain Ring
20004EAD , Wood Grain Ring+1
20004EAE , Wood Grain Ring+2
20004EB6 , Scholar Ring
20004EC0 , Priestess Ring
20004ECA , Red Tearstone Ring
20004ED4 , Blue Tearstone Ring
20004EDE , Wolf Ring
20004EDF , Wolf Ring+1
20004EE0 , Wolf Ring+2
20004EE8 , Leo Ring
20004EF2 , Ring of Sacrifice
20004F06 , Young Dragon Ring
20004F07 , Bellowing Dragoncrest Ring
20004F10 , Great Swamp Ring
20004F11 , Witch's Ring
20004F1A , Morne's Ring
20004F1B , Ring of the Sun's First Born
20004F2E , Lingering Dragoncrest Ring
20004F2F , Lingering Dragoncrest Ring+1
20004F30 , Lingering Dragoncrest Ring+2
20004F38 , Sage Ring
20004F39 , Sage Ring+1
20004F3A , Sage Ring+2
20004F42 , Slumbering Dragoncrest Ring
20004F4C , Dusk Crown Ring
20004F56 , Saint's Ring
20004F60 , Deep Ring
20004F6A , Darkmoon Ring
20004F74 , Ring of the Sun's Firstborn
20004F7E , Darkmoon Blade Covenant Ring
20004F88 , Leo Ring
20004F92 , Hawk Ring
20004F9C , Hornet Ring
20004FA6 , Covetous Gold Serpent Ring
20004FA7 , Covetous Gold Serpent Ring+1
20004FA8 , Covetous Gold Serpent Ring+2
20004FB0 , Covetous Silver Serpent Ring
20004FB1 , Covetous Silver Serpent Ring+1
20004FB2 , Covetous Silver Serpent Ring+2
20004FBA , Sun Princess Ring
20004FC4 , Silvercat Ring
20004FCE , Skull Ring
20004FD8 , Untrue White Ring
20004FE2 , Carthus Milkring
20004FEC , Knight's Ring
20004FF6 , Hunter's Ring
20005000 , Knight Slayer's Ring
2000500A , Magic Clutch Ring
20005014 , Lightning Clutch Ring
2000501E , Fire Clutch Ring
20005028 , Dark Clutch Ring
20005032 , Baneful Bird Ring
2000503C , Flynn's Ring
20005046 , Prisoner's Chain
20005050 , Untrue Dark Ring
20005064 , Obscuring Ring
2000506E , Ring of the Evil Eye
2000506F , Ring of the Evil Eye+1
20005070 , Ring of the Evil Eye+2
20005078 , Calamity Ring
20005082 , Farron Ring
2000508C , Aldrich's Ruby
20005096 , Aldrich's Sapphire
200050B4 , Lloyd's Sword Ring
200050BE , Lloyd's Shield Ring
200050DC , Estus Ring
200050E6 , Ashen Estus Ring
200050F0 , Horsehoof Ring
200050FA , Carthus Bloodring
20005104 , Reversal Ring
2000510E , Pontiff's Right Eye
20005136 , Pontiff's Left Eye
2000515E , Dragonscale Ring
20005208 , Chillbite Ring
20004E2D , Chloranthy Ring +3
20004E37 , Havel's ring +3
20004E41 , Ring of Favor +3
20004E4B , Ring of Steel Protection +3
20004EE1 , Wolf Ring +3
20004FA9 , Covetous Gold Serpent Ring +3
20004FB3 , Covetous Silver Serpent Ring +3
20005071 , Ring of the Evil Eye +3
