HEX , NAME

40124F80 , Farron Dart
40127690 , Great Farron Dart
4013D620 , Soul Arrow
4013DA08 , Great Soul Arrow
4013DDF0 , Heavy Soul Arrow
4013E1D8 , Great Heavy Soul Arrow
4013E5C0 , Homing Soulmass
4013E9A8 , Homing Crystal Soulmass
4013ED90 , Soul Spear
4013F178 , Crystal Soul Spear
4013F560 , Deep Soul
4013F948 , Great Deep Soul
4013FD30 , Magic Weapon
40140118 , Great Magic Weapon
40140500 , Crystal Magic Weapon
40144B50 , Magic Shield
40144F38 , Great Magic Shield
40147260 , Hidden Weapon
40147648 , Hidden Body
40149970 , Cast Light
4014A528 , Repair
4014A910 , Spook
4014ACF8 , Chameleon
4014B0E0 , Aural Decoy
4014E790 , White Dragon Breath
4014EF60 , Farron Hail
4014F348 , Crystal Hail
4014F730 , Soul Greatsword
4014FB18 , Farron Flashsword
401875B8 , Affinity
40189CC8 , Dark Edge
4018B820 , Soul Stream
40193138 , Twisted Wall of Light
401A8CE0 , Pestilent Mercury
401408E8 , Frozen Weapon
401A90C8 , Snap Freeze 
4014FF00 , Old Moonlight
401879A0 , Great Soul Dregs
