HEX , NAME

11DA9048 , Dingy Maiden's Overcoat
11F78A40 , Grotto Hat
11F78E28 , Grotto Robe
11F79210 , Grotto Wrap
11F795F8 , Grotto Trousers
126261D0 , Soldier's Gauntlets
1263E0A0 , Soldier's Hood
129024A8 , Elder's Robe
12A70420 , Saint's Veil
12A70808 , Saint's Dress
12AEA540 , Footman's Hood
12AEA928 , Footman's Overcoat
12AEAD10 , Footman's Bracelets
12AEB0F8 , Footman's Trousers
12E40D20 , Scholar's Shed Skin
138BE5E0 , Man Serpent's Mask
138BE9C8 , Man Serpent's Robe
13B20B80 , Giant's crown 
13B20F68 , Giant's Armor 
13B21350 , Giant's Gauntlets 
13B21738 , Giant's Leggings 
13DFD240 , Old Monarch's Crown
13DFD628 , Old Monarch's Robe
13FE56C0 , Frigid Valley Mask
140D9900 , Dingy Hood
15A995C0 , Hexer's Hood
15A999A8 , Hexer's Robes
15A99D90 , Hexer's Gloves
15A9A178 , Hexer's Boots
15C81A40 , Varangian Helm
15C81E28 , Varangian Armor
15C82210 , Varangian Cuffs
15C825F8 , Varangian Leggings
