HEX , NAME

40000115 , Monastery Charm  
4000012D , Holy Water Urn
40000178 , Pendant  
400001B9 , Spirit Amethyst  
400001BA , Spirit Amethyst  
400001C2 , Oozing Charm Berry  
400001C3 , Oozing Flash Berry  
400001C4 , Mossfruit  
400001C5 , Brightbug  
400002D3 , Soul of the Great Bat  
400002DB , Soul of the Twin Princes 
400003F2 , Dragon Scale  
400007D3 , Bridge Key  
400007D4 , Iron Seal of the Wolf  
400007DB , Dungeon Ground Floor Key
40000835 , Holy Remains  
40000849 , Braille Divine Sunlight Tome  
40000858 , Gwyndolin's Finger  
