HEX , NAME

0001ADB0 , Fists
000F4240 , Dagger
000F42A4 , Heavy Dagger
000F4308 , Sharp Dagger
000F436C , Refined Dagger
000F43D0 , Simple Dagger
000F4434 , Crystal Dagger
000F4498 , Fire Dagger
000F44FC , Chaos Dagger
000F4560 , Lightning Dagger
000F45C4 , Deep Dagger
000F4628 , Dark Dagger
000F468C , Poison Dagger
000F46F0 , Blood Dagger
000F4754 , Raw Dagger
000F47B8 , Blessed Dagger
000F481C , Hollow Dagger
000F6950 , Bandit's Knife
000F69B4 , Heavy Bandit's Knife
000F6A18 , Sharp Bandit's Knife
000F6A7C , Refined Bandit's Knife
000F6AE0 , Simple Bandit's Knife
000F6B44 , Crystal Bandit's Knife
000F6BA8 , Fire Bandit's Knife
000F6C0C , Chaos Bandit's Knife
000F6C70 , Lightning Bandit's Knife
000F6CD4 , Deep Bandit's Knife
000F6D38 , Dark Bandit's Knife
000F6D9C , Poison Bandit's Knife
000F6E00 , Blood Bandit's Knife
000F6E64 , Raw Bandit's Knife
000F6EC8 , Blessed Bandit's Knife
000F6F2C , Hollow Bandit's Knife
000F9060 , Parrying Dagger
000F90C4 , Heavy Parrying Dagger
000F9128 , Sharp Parrying Dagger
000F918C , Refined Parrying Dagger
000F91F0 , Simple Parrying Dagger
000F9254 , Crystal Parrying Dagger
000F92B8 , Fire Parrying Dagger
000F931C , Chaos Parrying Dagger
000F9380 , Lightning Parrying Dagger
000F93E4 , Deep Parrying Dagger
000F9448 , Dark Parrying Dagger
000F94AC , Poison Parrying Dagger
000F9510 , Blood Parrying Dagger
000F9574 , Raw Parrying Dagger
000F95D8 , Blessed Parrying Dagger
000F963C , Hollow Parrying Dagger
000FDE80 , Rotten Ghru Dagger
000FDEE4 , Heavy Rotten Ghru Dagger
000FDF48 , Sharp Rotten Ghru Dagger
000FDFAC , Refined Rotten Ghru Dagger
000FE010 , Simple Rotten Ghru Dagger
000FE074 , Crystal Rotten Ghru Dagger
000FE0D8 , Fire Rotten Ghru Dagger
000FE13C , Chaos Rotten Ghru Dagger
000FE1A0 , Lightning Rotten Ghru Dagger
000FE204 , Deep Rotten Ghru Dagger
000FE268 , Dark Rotten Ghru Dagger
000FE2CC , Poison Rotten Ghru Dagger
000FE330 , Blood Rotten Ghru Dagger
000FE394 , Raw Rotten Ghru Dagger
000FE3F8 , Blessed Rotten Ghru Dagger
000FE45C , Hollow Rotten Ghru Dagger
00102CA0 , Harpe
00102D04 , Heavy Harpe
00102D68 , Sharp Harpe
00102DCC , Refined Harpe
00102E30 , Simple Harpe
00102E94 , Crystal Harpe
00102EF8 , Fire Harpe
00102F5C , Chaos Harpe
00102FC0 , Lightning Harpe
00103024 , Deep Harpe
00103088 , Dark Harpe
001030EC , Poison Harpe
00103150 , Blood Harpe
001031B4 , Raw Harpe
00103218 , Blessed Harpe
0010327C , Hollow Harpe
001053B0 , Scholar's Candlestick
00107AC0 , Tailbone Short Sword
0010A1D0 , Corvian Greatknife
0010A234 , Heavy Corvian Greatknife
0010A298 , Sharp Corvian Greatknife
0010A2FC , Refined Corvian Greatknife
0010A360 , Simple Corvian Greatknife
0010A3C4 , Crystal Corvian Greatknife
0010A428 , Fire Corvian Greatknife
0010A48C , Chaos Corvian Greatknife
0010A4F0 , Lightning Corvian Greatknife
0010A554 , Deep Corvian Greatknife
0010A5B8 , Dark Corvian Greatknife
0010A61C , Poison Corvian Greatknife
0010A680 , Blood Corvian Greatknife
0010A6E4 , Raw Corvian Greatknife
0010A748 , Blessed Corvian Greatknife
0010A7AC , Hollow Corvian Greatknife
00111700 , Handmaid's Dagger
001E8480 , Shortsword
001E84E4 , Heavy Shortsword
001E8548 , Sharp Shortsword
001E85AC , Refined Shortsword
001E8610 , Simple Shortsword
001E8674 , Crystal Shortsword
001E86D8 , Fire Shortsword
001E873C , Chaos Shortsword
001E87A0 , Lightning Shortsword
001E8804 , Deep Shortsword
001E8868 , Dark Shortsword
001E88CC , Poison Shortsword
001E8930 , Blood Shortsword
001E8994 , Raw Shortsword
001E89F8 , Blessed Shortsword
001E8A5C , Hollow Shortsword
001EAB90 , Long Sword
001EABF4 , Heavy Longsword
001EAC58 , Sharp Longsword
001EACBC , Refined Longsword
001EAD20 , Simple Longsword
001EAD84 , Crystal Longsword
001EADE8 , Fire Longsword
001EAE4C , Chaos Longsword
001EAEB0 , Lightning Longsword
001EAF14 , Deep Longsword
001EAF78 , Dark Longsword
001EAFDC , Poison Longsword
001EB040 , Blood Longsword
001EB0A4 , Raw Longsword
001EB108 , Blessed Longsword
001EB16C , Hollow Longsword
001ED2A0 , Broadsword
001ED304 , Heavy Broadsword
001ED368 , Sharp Broadsword
001ED3CC , Refined Broadsword
001ED430 , Simple Broadsword
001ED494 , Crystal Broadsword
001ED4F8 , Fire Broadsword
001ED55C , Chaos Broadsword
001ED5C0 , Lightning Broadsword
001ED624 , Deep Broadsword
001ED688 , Dark Broadsword
001ED6EC , Poison Broadsword
001ED750 , Blood Broadsword
001ED7B4 , Raw Broadsword
001ED818 , Blessed Broadsword
001ED87C , Hollow Broadsword
001EF9B0 , Broken Straight Sword
001EFA14 , Broken Heavy Straight Sword
001EFA78 , Broken Sharp Straight Sword
001EFADC , Broken Refined Straight Sword
001EFB40 , Broken Simple Straight Sword
001EFBA4 , Broken Crystal Straight Sword
001EFC08 , Broken Fire Straight Sword
001EFC6C , Broken Chaos Straight Sword
001EFCD0 , Broken Lightning Straight Sword
001EFD34 , Broken Deep Straight Sword
001EFD98 , Broken Dark Straight Sword
001EFDFC , Broken Poison Straight Sword
001EFE60 , Broken Blood Straight Sword
001EFEC4 , Broken Raw Straight Sword
001EFF28 , Broken Blessed Straight Sword
001EFF8C , Broken Hollow Straight Sword
001F6EE0 , Lothric Knight Sword
001F6F44 , Heavy Lothric Sword
001F6FA8 , Sharp Lothric Sword
001F700C , Refined Lothric Sword
001F7070 , Simple Lothric Sword
001F70D4 , Crystal Lothric Sword
001F7138 , Fire Lothric Sword
001F719C , Chaos Lothric Sword
001F7200 , Lightning Lothric Sword
001F7264 , Deep Lothric Sword
001F72C8 , Dark Lothric Sword
001F732C , Poison Lothric Sword
001F7390 , Blood Lothric Sword
001F73F4 , Raw Lothric Sword
001F7458 , Blessed Lothric Sword
001F74BC , Hollow Lothric Sword
00203230 , Sunlight Straight Sword
00205940 , Rotten Ghru Curved Sword
002059A4 , Heavy Rotten Ghru Sword
00205A08 , Sharp Rotten Ghru Sword
00205A6C , Refined Rotten Ghru Sword
00205AD0 , Simple Rotten Ghru Sword
